fec_company,list_id
GEO Group,f1000_894
Tribune Media,f1000_895
Microchip Technology,f1000_896
Fitbit,f1000_897
Waters,f1000_898
Teledyne Technologies,f1000_899
Digital Realty Trust,f1000_900
RH,f1000_901
Fred's,f1000_902
Universal,f1000_903
CDK Global,f1000_904
IDEX,f1000_905
Cliffs Natural Resources,f1000_906
Curtiss-Wright,f1000_907
Verisk Analytics,f1000_908
NOW,f1000_909
Apollo Education Group,f1000_910
Kennametal,f1000_911
H.B. Fuller,f1000_912
PharMerica,f1000_913
Engility Holdings,f1000_914
Sears Hometown & Outlet Stores,f1000_915
Bio-Rad Laboratories,f1000_916
Federated Mutual Insurance,f1000_917
Mueller Industries,f1000_918
Red Hat,f1000_919
NewMarket,f1000_920
Hospitality Properties Trust,f1000_921
AvalonBay Communities,f1000_922
Renewable Energy Group,f1000_923
Consol Energy,f1000_924
Ferrellgas Partners,f1000_925
Tower International,f1000_926
Autodesk,f1000_927
99 Cents Only Stores,f1000_928
E*Trade Financial,f1000_929
Woodward,f1000_930
Esterline Technologies,f1000_931
Itron,f1000_932
Werner Enterprises,f1000_933
Stewart Information Services,f1000_934
Hexcel,f1000_935
Genesee & Wyoming,f1000_936
Primoris Services,f1000_937
SPX FLOW,f1000_938
F5 Networks,f1000_939
VeriFone Systems,f1000_940
Texas Roadhouse,f1000_941
NLV Financial,f1000_942
Buffalo Wild Wings,f1000_943
Continental Resources,f1000_944
Arch Coal,f1000_945
Roadrunner Transportation Systems,f1000_946
Cooper Cos.,f1000_947
hhgregg,f1000_948
Euronet Worldwide,f1000_949
Griffon,f1000_950
CoreLogic,f1000_951
Nuance Communications,f1000_952
Matson,f1000_953
Popular,f1000_954
Alliance Holdings,f1000_955
REV Group,f1000_956
Rexnord,f1000_957
Cypress Semiconductor,f1000_958
Portland General Electric,f1000_959
Ply Gem Holdings,f1000_960
Cal-Maine Foods,f1000_961
Alliance One International,f1000_962
AMN Healthcare Services,f1000_963
American Greetings,f1000_964
Blackhawk Network Holdings,f1000_965
Pier 1 Imports,f1000_966
Finish Line,f1000_967
BlueLinx Holdings,f1000_968
New Jersey Resources,f1000_969
Deckers Outdoor,f1000_970
Murphy Oil,f1000_971
Teleflex,f1000_972
Par Pacific Holdings,f1000_973
SL Green Realty,f1000_974
GMS,f1000_975
CoreCivic,f1000_976
Deluxe,f1000_977
Catalent,f1000_978
GoDaddy,f1000_979
Wabash National,f1000_980
Adtalem Global Education,f1000_981
United Refining,f1000_982
Allison Transmission Holdings,f1000_983
Atlas Air Worldwide Holdings,f1000_984
ResMed,f1000_985
Delta Tucker Holdings,f1000_986
FleetCor Technologies,f1000_987
Central Garden & Pet,f1000_988
Beazer Homes USA,f1000_989
New York Community Bancorp,f1000_990
Cadence Design Systems,f1000_991
Carpenter Technology,f1000_992
Marriott Vacations Worldwide,f1000_993
FTI Consulting,f1000_994
Nordson,f1000_995
Briggs & Stratton,f1000_996
Kaman,f1000_997
Overstock.com,f1000_998
Regis,f1000_999
Berkshire Hathaway,f1000_01
